# datetime - часова мітка 
# power - фактична генерація КВт
# limitation - обмеження в роботі станції (limitation=1, дані power невалідні) 
# ghi - фактичне глобальне горизонтальне опромінення Вт / м2
# gti - фактичне глобальне нахилене опромінення Вт / м2
# temperature_air - фактичне температура повітря С°
# temperature_pv - фактичне температура панелей С°
# максимальна потужність станції = 2976 КВт
datetime,power,limitation,ghi,gti,temperature_air,temperature_pv
2024-03-21 22:00:00+00:00,,0.0,,,,
2024-03-21 22:15:00+00:00,,0.0,,,,
2024-03-21 22:30:00+00:00,,0.0,,,,
2024-03-21 22:45:00+00:00,,0.0,,,,
2024-03-21 23:00:00+00:00,,0.0,,,,
2024-03-21 23:15:00+00:00,,0.0,,,,
2024-03-21 23:30:00+00:00,,0.0,,,,
2024-03-21 23:45:00+00:00,,0.0,,,,
2024-03-22 00:00:00+00:00,,0.0,,,,
2024-03-22 00:15:00+00:00,,0.0,,,,
2024-03-22 00:30:00+00:00,,0.0,,,,
2024-03-22 00:45:00+00:00,,0.0,,,,
2024-03-22 01:00:00+00:00,,0.0,,,,
2024-03-22 01:15:00+00:00,,0.0,,,,
2024-03-22 01:30:00+00:00,,0.0,,,,
2024-03-22 01:45:00+00:00,,0.0,,,,
2024-03-22 02:00:00+00:00,,0.0,,,,
2024-03-22 02:15:00+00:00,,0.0,,,,
2024-03-22 02:30:00+00:00,,0.0,,,,
2024-03-22 02:45:00+00:00,,0.0,,,,
2024-03-22 03:00:00+00:00,,0.0,,,,
2024-03-22 03:15:00+00:00,,0.0,,,,
2024-03-22 03:30:00+00:00,,0.0,,,,
2024-03-22 03:45:00+00:00,,0.0,,,,
2024-03-22 04:00:00+00:00,,0.0,,,,
2024-03-22 04:15:00+00:00,,0.0,,,,
2024-03-22 04:30:00+00:00,,0.0,,,,
2024-03-22 04:45:00+00:00,,0.0,,,,
2024-03-22 05:00:00+00:00,,0.0,,,,
2024-03-22 05:15:00+00:00,,0.0,,,,
2024-03-22 05:30:00+00:00,,0.0,,,,
2024-03-22 05:45:00+00:00,,0.0,,,,
2024-03-22 06:00:00+00:00,,0.0,,,,
2024-03-22 06:15:00+00:00,,0.0,,,,
2024-03-22 06:30:00+00:00,,0.0,,,,
2024-03-22 06:45:00+00:00,,0.0,,,,
2024-03-22 07:00:00+00:00,,0.0,,,,
2024-03-22 07:15:00+00:00,,0.0,,,,
2024-03-22 07:30:00+00:00,,0.0,,,,
2024-03-22 07:45:00+00:00,,0.0,,,,
2024-03-22 08:00:00+00:00,,0.0,,,,
2024-03-22 08:15:00+00:00,,0.0,,,,
2024-03-22 08:30:00+00:00,,0.0,,,,
2024-03-22 08:45:00+00:00,,0.0,,,,
2024-03-22 09:00:00+00:00,,0.0,,,,
2024-03-22 09:15:00+00:00,,0.0,,,,
2024-03-22 09:30:00+00:00,,0.0,,,,
2024-03-22 09:45:00+00:00,,0.0,,,,
2024-03-22 10:00:00+00:00,,0.0,,,,
2024-03-22 10:15:00+00:00,,0.0,,,,
2024-03-22 10:30:00+00:00,,0.0,,,,
2024-03-22 10:45:00+00:00,,0.0,,,,
2024-03-22 11:00:00+00:00,,0.0,,,,
2024-03-22 11:15:00+00:00,,0.0,,,,
2024-03-22 11:30:00+00:00,,0.0,,,,
2024-03-22 11:45:00+00:00,,0.0,,,,
2024-03-22 12:00:00+00:00,,0.0,,,,
2024-03-22 12:15:00+00:00,,0.0,,,,
2024-03-22 12:30:00+00:00,,0.0,,,,
2024-03-22 12:45:00+00:00,,0.0,,,,
2024-03-22 13:00:00+00:00,,0.0,,,,
2024-03-22 13:15:00+00:00,,0.0,,,,
2024-03-22 13:30:00+00:00,,0.0,,,,
2024-03-22 13:45:00+00:00,,0.0,,,,
2024-03-22 14:00:00+00:00,,0.0,,,,
2024-03-22 14:15:00+00:00,,0.0,,,,
2024-03-22 14:30:00+00:00,,0.0,,,,
2024-03-22 14:45:00+00:00,,0.0,,,,
2024-03-22 15:00:00+00:00,,0.0,,,,
2024-03-22 15:15:00+00:00,,0.0,,,,
2024-03-22 15:30:00+00:00,,0.0,,,,
2024-03-22 15:45:00+00:00,,0.0,,,,
2024-03-22 16:00:00+00:00,,0.0,,,,
2024-03-22 16:15:00+00:00,,0.0,,,,
2024-03-22 16:30:00+00:00,,0.0,,,,
2024-03-22 16:45:00+00:00,,0.0,,,,
2024-03-22 17:00:00+00:00,,0.0,,,,
2024-03-22 17:15:00+00:00,,0.0,,,,
2024-03-22 17:30:00+00:00,,0.0,,,,
2024-03-22 17:45:00+00:00,,0.0,,,,
2024-03-22 18:00:00+00:00,,0.0,,,,
2024-03-22 18:15:00+00:00,,0.0,,,,
2024-03-22 18:30:00+00:00,,0.0,,,,
2024-03-22 18:45:00+00:00,,0.0,,,,
2024-03-22 19:00:00+00:00,,0.0,,,,
2024-03-22 19:15:00+00:00,,0.0,,,,
2024-03-22 19:30:00+00:00,,0.0,,,,
2024-03-22 19:45:00+00:00,,0.0,,,,
2024-03-22 20:00:00+00:00,,0.0,,,,
2024-03-22 20:15:00+00:00,,0.0,,,,
2024-03-22 20:30:00+00:00,,0.0,,,,
2024-03-22 20:45:00+00:00,,0.0,,,,
2024-03-22 21:00:00+00:00,,0.0,,,,
2024-03-22 21:15:00+00:00,,0.0,,,,
2024-03-22 21:30:00+00:00,,0.0,,,,
2024-03-22 21:45:00+00:00,,0.0,,,,
2024-03-22 22:00:00+00:00,,0.0,,,,
2024-03-22 22:15:00+00:00,,0.0,,,,
2024-03-22 22:30:00+00:00,,0.0,,,,
2024-03-22 22:45:00+00:00,,0.0,,,,
2024-03-22 23:00:00+00:00,,0.0,,,,
2024-03-22 23:15:00+00:00,,0.0,,,,
2024-03-22 23:30:00+00:00,,0.0,,,,
2024-03-22 23:45:00+00:00,,0.0,,,,
2024-03-23 00:00:00+00:00,,0.0,,,,
2024-03-23 00:15:00+00:00,,0.0,,,,
2024-03-23 00:30:00+00:00,,0.0,,,,
2024-03-23 00:45:00+00:00,,0.0,,,,
2024-03-23 01:00:00+00:00,,0.0,,,,
2024-03-23 01:15:00+00:00,,0.0,,,,
2024-03-23 01:30:00+00:00,,0.0,,,,
2024-03-23 01:45:00+00:00,,0.0,,,,
2024-03-23 02:00:00+00:00,,0.0,,,,
2024-03-23 02:15:00+00:00,,0.0,,,,
2024-03-23 02:30:00+00:00,,0.0,,,,
2024-03-23 02:45:00+00:00,,0.0,,,,
2024-03-23 03:00:00+00:00,,0.0,,,,
2024-03-23 03:15:00+00:00,,0.0,,,,
2024-03-23 03:30:00+00:00,,0.0,,,,
2024-03-23 03:45:00+00:00,,0.0,,,,
2024-03-23 04:00:00+00:00,,0.0,,,,
2024-03-23 04:15:00+00:00,,0.0,,,,
2024-03-23 04:30:00+00:00,,0.0,,,,
2024-03-23 04:45:00+00:00,,0.0,,,,
2024-03-23 05:00:00+00:00,,0.0,,,,
2024-03-23 05:15:00+00:00,,0.0,,,,
2024-03-23 05:30:00+00:00,,0.0,,,,
2024-03-23 05:45:00+00:00,,0.0,,,,
2024-03-23 06:00:00+00:00,,0.0,,,,
2024-03-23 06:15:00+00:00,,0.0,,,,
2024-03-23 06:30:00+00:00,,0.0,,,,
2024-03-23 06:45:00+00:00,,0.0,,,,
2024-03-23 07:00:00+00:00,,0.0,,,,
2024-03-23 07:15:00+00:00,,0.0,,,,
2024-03-23 07:30:00+00:00,,0.0,,,,
2024-03-23 07:45:00+00:00,,0.0,,,,
2024-03-23 08:00:00+00:00,,0.0,,,,
2024-03-23 08:15:00+00:00,,0.0,,,,
2024-03-23 08:30:00+00:00,,0.0,,,,
2024-03-23 08:45:00+00:00,,0.0,,,,
2024-03-23 09:00:00+00:00,,0.0,,,,
